energy,Cu64 + photon [inclusive] width,n + Cu63 width,J,Pi,L
-37093.01,0.03055291,3985.125,1,-1,0
-266.6236,0.4212613,7.185212,1,-1,0
650.7432,0.3315416,0.01187882,1,-1,0
2044.23,0.3854177,41.07563,1,-1,0
3308.834,0.6452201,0.02262346,1,-1,0
3501.465,0.7409985,0.02460457,1,-1,0
4395.981,0.4513072,4.603792,1,-1,0
4434.992,1.072698,0.03157869,1,-1,0
4854.568,0.5443946,14.11003,1,-1,0
5817.756,0.6038102,11.33485,1,-1,0
6838.389,0.7885441,0.1840215,1,-1,0
7562.579,0.450567,17.55631,1,-1,0
8626.556,2.505465,0.1647036,1,-1,0
8647.213,1.551128,0.1265229,1,-1,0
9759.081,0.526672,0.1671113,1,-1,0
9918.42,0.6187942,90.13333,1,-1,0
10308.63,2.830947,0.1587647,1,-1,0
13701.5,0.3562236,28.0062,1,-1,0
15089.31,0.4511191,22.71063,1,-1,0
15807.07,0.546093,10.28754,1,-1,0
17865.72,0.3985639,84.29085,1,-1,0
18338.39,0.475526,0.002196298,1,-1,0
20389.39,0.5940714,0.8620342,1,-1,0
20443.23,8.461948,0.085757,1,-1,0
20918.66,0.5746705,0.6505904,1,-1,0
21005.37,0.9116019,100.1282,1,-1,0
21522.09,2.619052,0.131049,1,-1,0
23624.77,0.5385611,4.268506,1,-1,0
25760.61,0.4392857,264.751,1,-1,0
29510.86,0.5098356,304.4736,1,-1,0
29930.51,0.4718404,0.01361137,1,-1,0
30472.15,0.6166168,18.12644,1,-1,0
31397.27,0.6101848,50.94252,1,-1,0
32205.5,0.6093683,13.29705,1,-1,0
35017.66,1.418118,0.05412689,1,-1,0
36145.83,0.6216827,95.53072,1,-1,0
37966.02,0.447046,28.03745,1,-1,0
39109.23,0.527338,0.04553536,1,-1,0
42534.11,0.6294553,211.1937,1,-1,0
44703.88,5.897303,0.2935447,1,-1,0
44763.73,0.5185812,68.26022,1,-1,0
45823.67,0.530839,0.6769722,1,-1,0
52921.94,0.6702821,0.770472,1,-1,0
53745.95,0.70291,653.7216,1,-1,0
55317.88,0.7124706,590.1648,1,-1,0
57677.66,0.5840435,15.69845,1,-1,0
59134.87,0.4923646,48.84757,1,-1,0
59446.89,0.3357264,28.19816,1,-1,0
59939.28,0.5133754,21.75013,1,-1,0
64506.89,0.4589331,2.033486,1,-1,0
65021.01,0.4019503,165.7322,1,-1,0
66291.0,0.5568665,338.0655,1,-1,0
68939.06,0.4376564,17.70567,1,-1,0
69669.91,0.6750773,137.941,1,-1,0
72955.77,0.6791352,0.5385811,1,-1,0
73725.24,0.6543578,438.8074,1,-1,0
74604.72,0.6308678,58.52555,1,-1,0
79145.35,0.7100341,15.96593,1,-1,0
81434.99,0.009666119,14.64464,1,-1,0
81846.35,0.1898909,4.219759,1,-1,0
85922.15,0.4650385,11.86786,1,-1,0
87505.17,0.5535435,27.70341,1,-1,0
87571.74,1.271951,0.1353378,1,-1,0
89536.62,0.5953466,30.2233,1,-1,0
90285.26,0.981271,26.34867,1,-1,0
94699.49,0.6971084,146.5287,1,-1,0
95371.88,0.4633638,11.85445,1,-1,0
96865.29,1.038251,41.51948,1,-1,0
97209.81,0.6682656,1.405372,1,-1,0
98420.98,0.4147479,1.71134,1,-1,0
98549.41,0.5235994,13.1597,1,-1,0
98830.9,0.9053212,8.250045,1,-1,0
101557.3,0.9551607,22.77647,1,-1,0
102637.9,0.8746148,2.219539,1,-1,0
104525.5,0.6083387,6.800294,1,-1,0
105283.0,0.7998415,7.957038,1,-1,0
107245.4,1.317362,23.28542,1,-1,0
107250.2,2.503134,92.95661,1,-1,0
107634.7,0.4632379,15.01203,1,-1,0
108698.9,3.642601,231.7513,1,-1,0
109613.9,0.2872402,0.2219306,1,-1,0
114816.4,0.988693,195.683,1,-1,0
115197.5,1.363484,2.965042,1,-1,0
116933.1,0.8394021,12.44908,1,-1,0
117209.1,0.9911041,3.973605,1,-1,0
118228.5,1.782514,274.0251,1,-1,0
120025.2,0.6297289,40.2646,1,-1,0
121116.9,0.6682408,29.60224,1,-1,0
124288.5,0.825938,169.7736,1,-1,0
124525.4,0.6805562,232.8181,1,-1,0
125375.7,0.08578101,0.528426,1,-1,0
125559.9,1.099049,198.8945,1,-1,0
125717.6,0.8116194,68.36746,1,-1,0
126785.8,0.9176377,17.8484,1,-1,0
126830.3,2.842423,579.6792,1,-1,0
129696.3,1.783613,35.52688,1,-1,0
131332.5,1.126425,17.21094,1,-1,0
132682.9,0.6075053,4.048221,1,-1,0
133972.3,0.491931,124.265,1,-1,0
135218.7,0.6897927,0.3805569,1,-1,0
135317.4,0.7410952,19.26168,1,-1,0
136751.1,0.3482115,448.5519,1,-1,0
137623.0,0.3291,19.54575,1,-1,0
137805.6,0.5079674,2.460739,1,-1,0
142953.7,0.7058715,0.5844295,1,-1,0
145694.5,0.5989731,15.16551,1,-1,0
145920.8,1.109895,3.478521,1,-1,0
146269.7,0.1409564,1.142372,1,-1,0
148124.2,1.501382,98.95276,1,-1,0
151050.2,0.8267939,164.7394,1,-1,0
151239.1,1.051173,219.5863,1,-1,0
151510.2,0.09557899,3.324218,1,-1,0
152313.0,1.195924,0.5817388,1,-1,0
153265.9,0.5672642,0.3961463,1,-1,0
153452.6,4.440599,2.175686,1,-1,0
154367.3,0.6877181,109.414,1,-1,0
155152.4,2.538083,681.4603,1,-1,0
155609.0,2.158274,0.3845176,1,-1,0
158111.1,0.8522773,431.9688,1,-1,0
162222.3,0.4122986,525.727,1,-1,0
162984.2,0.7259186,9.910012,1,-1,0
165236.4,1.266671,8.36269,1,-1,0
167472.4,0.9667017,28.45309,1,-1,0
167811.4,1.192599,99.55061,1,-1,0
169743.8,3.70211,652.4298,1,-1,0
170504.8,0.4570356,7.857434,1,-1,0
170837.5,0.2535706,0.810433,1,-1,0
170951.9,0.6621816,3.381782,1,-1,0
171323.5,0.4259306,3.906314,1,-1,0
172044.9,0.04152343,0.1819563,1,-1,0
174125.5,0.7496284,1.379516,1,-1,0
174922.0,0.683975,49.5996,1,-1,0
177254.9,0.8559323,14.4502,1,-1,0
182085.1,1.311735,413.4181,1,-1,0
183841.0,0.477446,1.096899,1,-1,0
184442.7,5.576493,1019.906,1,-1,0
189764.0,2.875753,681.1788,1,-1,0
191408.6,2.71095,517.4673,1,-1,0
192547.4,2.222145,751.9427,1,-1,0
193850.5,2.061248,691.1202,1,-1,0
196679.7,0.6699716,15.04273,1,-1,0
196828.5,0.02078909,629.6953,1,-1,0
198299.7,0.4414401,8.30231,1,-1,0
199327.6,0.1891775,8.292278,1,-1,0
201150.8,6.782941,1434.185,1,-1,0
202539.0,0.8111335,488.4811,1,-1,0
203984.7,0.357606,16.46061,1,-1,0
205537.9,0.9692587,443.1254,1,-1,0
206948.5,0.1171421,18.12734,1,-1,0
207989.5,0.2192002,43.83416,1,-1,0
209614.8,1.61546,13.67182,1,-1,0
211093.7,0.6988169,52.5569,1,-1,0
212351.6,1.447702,344.9006,1,-1,0
213950.1,1.806896,1074.676,1,-1,0
215691.0,0.3843703,26.79349,1,-1,0
216957.4,0.4818885,41.6444,1,-1,0
218583.8,1.09924,46.18837,1,-1,0
219859.6,2.056137,310.3935,1,-1,0
221015.4,0.1193098,49.44013,1,-1,0
222099.8,0.22987,25.62483,1,-1,0
223567.9,0.07466449,11.07214,1,-1,0
225120.6,1.699397,315.7084,1,-1,0
226725.7,0.1556833,20.14003,1,-1,0
228299.1,7.127714,507.5607,1,-1,0
229816.8,0.7415813,-1.299941,1,-1,0
231065.3,0.07024648,13.80183,1,-1,0
232566.8,1.471939,11.46186,1,-1,0
233200.3,0.4129267,1021.755,1,-1,0
235555.1,2.786138,49.00711,1,-1,0
236611.1,0.3032375,9.572116,1,-1,0
238393.8,1.885651,64.07624,1,-1,0
239441.4,6.136271,386.989,1,-1,0
240774.3,0.1397074,20.09852,1,-1,0
242383.4,0.9252761,356.4065,1,-1,0
243949.1,2.125321,15.3743,1,-1,0
245252.9,0.5178402,246.7978,1,-1,0
246532.0,2.209992,1359.723,1,-1,0
248210.2,0.9041384,116.8368,1,-1,0
249534.1,0.5686912,84.20846,1,-1,0
250841.7,1.459358,600.6624,1,-1,0
251740.5,4.576838,1124.85,1,-1,0
254241.5,0.4527377,39.35346,1,-1,0
255219.8,0.6999181,129.7499,1,-1,0
256500.8,0.3715717,11.88176,1,-1,0
257920.0,2.107243,34.88686,1,-1,0
259536.7,0.6288673,174.5676,1,-1,0
260776.9,2.204117,1.112841,1,-1,0
262059.5,2.1828,50.00441,1,-1,0
263685.2,1.170603,167.3627,1,-1,0
265385.9,6.88391,680.1519,1,-1,0
266685.2,4.716101,527.3386,1,-1,0
268153.0,1.624458,115.5336,1,-1,0
269454.8,3.457624,51.54869,1,-1,0
270587.3,1.786126,165.3485,1,-1,0
271649.6,0.9072708,615.6966,1,-1,0
273812.1,1.120438,17.1456,1,-1,0
275168.0,0.9372087,20.25991,1,-1,0
275865.5,1.719563,237.0112,1,-1,0
277987.2,0.3816253,1192.376,1,-1,0
278983.5,0.886884,30.29695,1,-1,0
281479.5,0.6860151,95.72399,1,-1,0
282947.4,0.3606553,30.40684,1,-1,0
283460.1,1.054625,69.30159,1,-1,0
284473.2,5.757108,3637.473,1,-1,0
285845.1,1.339126,270.0066,1,-1,0
287704.2,0.6698488,583.0568,1,-1,0
288232.2,0.06485506,522.7431,1,-1,0
290348.4,1.185572,8.810691,1,-1,0
293253.4,0.2652886,24.77984,1,-1,0
293367.3,0.2632804,93.24696,1,-1,0
294172.7,0.3536579,22.18663,1,-1,0
296571.0,2.170451,119.2772,1,-1,0
298675.5,0.677663,-0.4198931,1,-1,0
299600.0,5.410999,5.917322,1,-1,0
304830.2,0.5216707,5856.36,1,-1,0
306426.6,0.5105882,1931.509,1,-1,0
308842.4,0.5322659,2196.609,1,-1,0
324318.2,0.5001175,78.85937,1,-1,0
328286.1,0.5088833,27491.73,1,-1,0
-53346.25,0.03382957,6331.238,2,-1,0
577.9911,0.305168,0.9580431,2,-1,0
806.8959,0.2300979,0.002920162,2,-1,0
994.3759,0.3474124,0.009294202,2,-1,0
2646.827,0.440627,3.94233,2,-1,0
2857.617,0.5822586,0.01865241,2,-1,0
4373.949,0.549455,0.01429675,2,-1,0
5385.354,0.3965516,37.1353,2,-1,0
7941.26,0.4928947,72.58,2,-1,0
9195.535,0.2424946,39.69307,2,-1,0
9744.573,2.80515,0.08141028,2,-1,0
10839.64,0.2709038,62.83097,2,-1,0
13148.65,0.389611,80.28261,2,-1,0
15129.71,2.727022,0.09314837,2,-1,0
18122.28,0.5795584,28.78459,2,-1,0
18402.87,0.4937597,0.0004663887,2,-1,0
19497.16,5.537031,0.1151799,2,-1,0
21173.58,0.5544076,0.1621586,2,-1,0
21215.76,0.3205537,86.41106,2,-1,0
22799.53,0.4027442,99.08509,2,-1,0
24920.41,0.4620304,67.80013,2,-1,0
25776.58,5.420139,0.1506153,2,-1,0
26613.09,0.5246408,62.19375,2,-1,0
27483.79,0.4619095,0.005804384,2,-1,0
30050.67,0.4387202,0.004156559,2,-1,0
30858.09,0.5296436,0.01006595,2,-1,0
33248.21,1.000633,0.1980821,2,-1,0
33286.62,0.301877,208.4429,2,-1,0
36849.56,0.4815113,75.22464,2,-1,0
42018.3,0.4107488,202.3127,2,-1,0
50260.79,0.7245057,68.59958,2,-1,0
54916.95,0.6078964,289.6279,2,-1,0
56332.99,0.6357561,88.5512,2,-1,0
58452.35,0.6695336,68.5064,2,-1,0
63017.74,7.261031,0.108013,2,-1,0
63240.86,0.4690599,59.21194,2,-1,0
64586.55,13.73675,0.2086879,2,-1,0
64802.9,1.600652,0.06474397,2,-1,0
65336.63,0.4446347,45.55951,2,-1,0
68498.97,0.5668346,0.06255311,2,-1,0
71289.75,0.4644632,32.40123,2,-1,0
72203.32,0.454227,75.38379,2,-1,0
72814.02,0.802752,505.0221,2,-1,0
74671.43,0.2504998,0.7136167,2,-1,0
75910.61,0.4830314,25.25161,2,-1,0
77993.99,0.3434662,36.28806,2,-1,0
79017.91,0.5261378,75.54931,2,-1,0
81441.86,0.7622238,722.3719,2,-1,0
88507.48,1.383925,0.1472916,2,-1,0
90005.46,0.3629947,128.2048,2,-1,0
90395.68,0.5128188,2.696599,2,-1,0
91332.87,0.6246623,186.7288,2,-1,0
92181.54,0.8590986,77.52552,2,-1,0
95246.98,0.8662144,17.567,2,-1,0
95921.03,0.5593846,160.5476,2,-1,0
100887.7,0.4697491,148.0393,2,-1,0
101210.1,0.7517067,165.9467,2,-1,0
103829.4,0.7928617,137.2709,2,-1,0
105130.9,0.240622,23.93922,2,-1,0
106948.5,0.9960255,0.3526628,2,-1,0
107440.3,0.08733728,269.1309,2,-1,0
108636.6,0.1067095,51.2472,2,-1,0
108791.1,0.4521541,56.61308,2,-1,0
109346.8,0.7496421,0.2755576,2,-1,0
115638.7,1.476248,0.3978802,2,-1,0
118333.6,0.3783338,1.769623,2,-1,0
118907.9,0.881482,0.2888496,2,-1,0
119526.9,0.5825808,76.79919,2,-1,0
119688.1,0.8612534,5.260219,2,-1,0
123133.3,0.9089265,0.37429,2,-1,0
123511.3,0.5319533,0.2527532,2,-1,0
125514.5,0.1597578,0.6286607,2,-1,0
128310.3,1.545426,374.7359,2,-1,0
128735.0,0.6453763,4.387804,2,-1,0
129107.1,0.457816,2.614864,2,-1,0
129177.8,6.328522,1.020015,2,-1,0
129590.4,0.09515877,32.03706,2,-1,0
131156.6,0.4390523,134.3901,2,-1,0
133035.2,0.6559173,266.7775,2,-1,0
133575.8,0.8463001,0.6326527,2,-1,0
133888.9,0.3609019,0.05301771,2,-1,0
135881.6,0.1091906,490.5564,2,-1,0
136776.0,0.3919334,349.7718,2,-1,0
138220.9,0.3567807,9.911322,2,-1,0
138533.0,0.3366472,4.450099,2,-1,0
138891.7,0.6156911,8.791202,2,-1,0
139109.5,0.3164897,0.3371391,2,-1,0
140470.5,0.8849371,172.042,2,-1,0
141638.2,0.8578548,123.068,2,-1,0
142110.9,0.4013293,22.13125,2,-1,0
145097.8,0.1153103,28.01901,2,-1,0
145179.5,0.8964851,8.820506,2,-1,0
145830.0,0.8544954,1.658086,2,-1,0
146972.0,1.394503,0.3502069,2,-1,0
148162.1,0.166075,24.8219,2,-1,0
149314.1,0.8411952,68.72373,2,-1,0
149555.2,0.3676055,0.5689719,2,-1,0
151304.2,0.2358122,0.6903547,2,-1,0
152150.9,0.5073628,77.62861,2,-1,0
153201.6,0.08179799,0.9485132,2,-1,0
154952.2,0.02973928,23.71096,2,-1,0
156531.9,0.07913081,1.023493,2,-1,0
156998.3,0.5254766,0.1989299,2,-1,0
158425.2,0.06822867,2.88421,2,-1,0
160107.8,0.4204484,23.02406,2,-1,0
162005.4,0.2732553,3.087065,2,-1,0
163229.2,0.2867947,40.00533,2,-1,0
163853.5,0.3150388,0.8909224,2,-1,0
165020.7,0.3161197,11.66861,2,-1,0
165469.6,1.141495,0.6321992,2,-1,0
166729.1,0.2897408,90.62178,2,-1,0
166950.6,1.650877,368.5227,2,-1,0
167640.6,0.03244508,1.297146,2,-1,0
168052.4,0.6450998,14.44292,2,-1,0
168937.9,0.0519151,6.861432,2,-1,0
170291.2,0.3363128,12.95,2,-1,0
171017.5,0.08084106,1.148554,2,-1,0
172693.3,0.1276093,0.8631707,2,-1,0
173100.3,0.5480988,1.914745,2,-1,0
173223.5,0.4923604,1.997044,2,-1,0
174509.7,7.005647,1.45467,2,-1,0
175941.8,0.05794318,16.39922,2,-1,0
178311.2,0.09252115,3.125099,2,-1,0
179735.1,1.635319,1.207641,2,-1,0
181739.7,0.04075305,1.143376,2,-1,0
183746.9,0.2843005,1.108413,2,-1,0
185435.8,1.29772,0.6624068,2,-1,0
187218.1,0.1132778,4.180394,2,-1,0
188930.7,0.1407986,0.665689,2,-1,0
190820.8,0.05358413,0.5558016,2,-1,0
192779.6,0.05998277,4.765144,2,-1,0
194309.7,1.117176,1.563304,2,-1,0
196343.2,0.6321679,2.700326,2,-1,0
197876.0,0.2447035,1.352042,2,-1,0
199310.7,0.1206327,0.9867547,2,-1,0
201878.3,0.01803559,1.356433,2,-1,0
203850.2,0.3656567,1.864355,2,-1,0
205235.2,0.2406066,1.114097,2,-1,0
207033.8,0.03995777,1.231421,2,-1,0
208862.3,0.07912071,1.185182,2,-1,0
210643.4,0.1211836,1.114945,2,-1,0
211940.4,0.2142691,0.6480298,2,-1,0
214123.4,0.4204949,1.41258,2,-1,0
216221.6,0.07081558,1.09141,2,-1,0
217785.1,0.8471984,1.73208,2,-1,0
219777.5,0.2231704,1.289928,2,-1,0
221656.7,0.2298467,1.166872,2,-1,0
223271.6,0.1038133,1.243654,2,-1,0
225000.0,0.04846467,1.271672,2,-1,0
226904.5,0.06486088,1.117807,2,-1,0
228445.3,0.07505909,1.431103,2,-1,0
230510.6,0.09349573,1.82576,2,-1,0
232292.7,0.2769169,0.9966863,2,-1,0
234379.4,0.4044786,1.150159,2,-1,0
235414.9,0.09588841,1.158516,2,-1,0
237700.8,0.2595002,1.561496,2,-1,0
239497.0,0.1590504,1.382128,2,-1,0
241394.8,0.0873686,2.355891,2,-1,0
243359.8,0.1119229,1.367281,2,-1,0
244849.6,0.2015868,1.269935,2,-1,0
246594.1,0.1919419,1.462955,2,-1,0
248643.3,0.1372332,0.864107,2,-1,0
250038.5,0.3370584,1.839532,2,-1,0
251967.4,0.3461905,1.09644,2,-1,0
253861.2,0.3821317,1.51853,2,-1,0
255808.6,2.004683,1.677598,2,-1,0
257255.4,0.1697004,1.160958,2,-1,0
259711.4,0.1791087,1.125032,2,-1,0
261031.8,0.21402,0.986695,2,-1,0
262830.1,0.1662103,1.100998,2,-1,0
264808.6,0.1635198,0.9056919,2,-1,0
266047.2,0.3698527,1.634898,2,-1,0
267986.1,0.1265725,0.9680475,2,-1,0
270150.7,0.5491177,1.19237,2,-1,0
272249.2,0.1785573,1.274869,2,-1,0
273529.8,0.2426094,1.146273,2,-1,0
275420.4,0.2039887,1.109223,2,-1,0
277765.0,0.08592071,1.298344,2,-1,0
279016.1,0.1412222,1.227562,2,-1,0
281216.8,0.1462485,1.022849,2,-1,0
283251.4,0.1374701,1.100527,2,-1,0
284189.1,0.1226909,1.813566,2,-1,0
286516.4,0.1473269,1.465196,2,-1,0
288460.0,0.08947258,0.9467386,2,-1,0
289376.0,0.5710299,1.130873,2,-1,0
291283.6,0.4970587,1.962409,2,-1,0
293359.1,0.1057839,1.31435,2,-1,0
295953.2,0.2161496,1.175438,2,-1,0
296985.7,0.07787237,1.097088,2,-1,0
299157.2,0.2851581,1.528985,2,-1,0
301310.0,1.089757,2005.552,2,-1,0
307684.9,0.5006144,54.40159,2,-1,0
316007.2,0.5006178,21.93201,2,-1,0
331673.5,0.5249574,48440.76,2,-1,0
2216.315,0.6310807,0.07586839,0,1,1
5249.626,1.247357,0.05522085,0,1,1
5502.73,0.3564631,0.0117938,0,1,1
12596.41,0.2696623,0.003276272,0,1,1
13050.44,0.4593978,0.26909,0,1,1
13499.68,0.2623501,0.0002521731,0,1,1
15910.99,0.2747902,4.360952,0,1,1
16609.19,0.433704,6.225134,0,1,1
17297.27,0.3132162,0.5293224,0,1,1
23511.38,0.3256819,0.3371434,0,1,1
23613.04,0.6429247,1.649819,0,1,1
24356.27,0.2792291,9.545729,0,1,1
26847.06,0.2576851,0.0008856725,0,1,1
27025.91,0.5390803,4.328942,0,1,1
30199.34,0.3688188,1.699702,0,1,1
32323.61,0.3671575,9.57935,0,1,1
34799.52,0.4113876,38.31529,0,1,1
38745.97,0.247195,0.4731384,0,1,1
39769.3,0.481303,1.067953,0,1,1
46258.01,0.6476307,1.915196,0,1,1
53950.13,0.309552,4.339948,0,1,1
54074.08,0.3253141,7.487848,0,1,1
55018.39,0.4548187,1.503367,0,1,1
55502.04,0.2520701,1.104226,0,1,1
55632.12,0.072633,0.7483276,0,1,1
55616.82,0.644598,18.18615,0,1,1
58149.35,0.2337541,2.854603,0,1,1
65078.09,0.3081018,123.7152,0,1,1
76076.8,0.01877801,0.4633729,0,1,1
76346.75,0.6638496,147.6587,0,1,1
77659.1,0.4842207,4.713207,0,1,1
77925.06,0.7058513,32.48171,0,1,1
78081.36,0.7752002,7.70039,0,1,1
81350.55,1.847418,51.48508,0,1,1
84163.74,0.1468086,3.480515,0,1,1
92178.98,0.06147814,68.99031,0,1,1
98395.65,1.35099,46.05702,0,1,1
109028.6,0.02431924,10.3939,0,1,1
125624.3,1.565308,58.16424,0,1,1
135713.2,2.00989,56.8395,0,1,1
138819.4,11.2169,549.6386,0,1,1
140647.6,1.975418,259.2391,0,1,1
143575.5,2.981076,207.688,0,1,1
146277.4,2.631263,82.77261,0,1,1
148598.1,1.762352,82.45727,0,1,1
152852.8,0.5181613,213.0088,0,1,1
156664.5,8.595621,58.20655,0,1,1
159593.8,7.016462,419.0958,0,1,1
162057.9,0.6535173,39.6181,0,1,1
164544.4,0.9076336,-5.322944,0,1,1
170542.8,1.853992,308.6662,0,1,1
172869.1,3.29293,49.48044,0,1,1
176867.0,18.86303,-212.5726,0,1,1
178828.6,18.6268,401.1385,0,1,1
181998.0,12.67226,551.6192,0,1,1
182401.4,0.7588561,34.40204,0,1,1
188022.8,15.20613,480.154,0,1,1
189196.7,0.7831215,4.342412,0,1,1
191063.5,0.2722802,17.85034,0,1,1
195592.4,3.784823,123.7276,0,1,1
198468.3,22.51219,1180.197,0,1,1
200148.7,3.790201,-0.1076677,0,1,1
202586.3,9.130174,446.7304,0,1,1
204994.2,4.633038,131.7387,0,1,1
207903.9,1.387813,85.3362,0,1,1
210571.7,2.157448,33.11284,0,1,1
213146.9,9.272002,78.57801,0,1,1
215236.8,9.13033,58.9342,0,1,1
219075.2,4.869524,48.20168,0,1,1
221737.3,24.5527,755.6863,0,1,1
223786.6,11.89126,253.0231,0,1,1
226556.9,2.483338,191.6347,0,1,1
229507.9,9.906545,111.0149,0,1,1
231007.3,1.969528,-20.52545,0,1,1
234887.0,4.921524,16.62426,0,1,1
237815.1,10.67003,19.34592,0,1,1
240484.1,30.46336,553.1003,0,1,1
242275.6,15.98796,201.8722,0,1,1
245107.5,7.09551,285.3425,0,1,1
248763.2,8.543611,584.0717,0,1,1
250842.8,6.695764,-20.59589,0,1,1
253209.7,10.85723,968.3491,0,1,1
256592.4,5.007806,255.9482,0,1,1
258867.8,6.587964,412.0241,0,1,1
260404.2,5.046645,33.19502,0,1,1
264218.7,8.407707,112.1456,0,1,1
268603.4,1.003998,741.7254,0,1,1
268762.0,1.15533,703.0707,0,1,1
272923.8,8.270726,1071.233,0,1,1
274523.6,5.838303,23.61969,0,1,1
278874.4,6.888594,283.5339,0,1,1
280166.1,4.096499,234.023,0,1,1
281652.8,6.432169,1104.945,0,1,1
286492.7,5.483726,2500.124,0,1,1
288988.0,30.68039,638.1966,0,1,1
290368.3,6.43,4264.173,0,1,1
294041.6,2.659335,2741.564,0,1,1
296616.2,11.94118,591.6334,0,1,1
298194.4,4.436942,68699.13,0,1,1
3811.148,0.1041912,0.001203147,1,1,1
5083.015,0.2295449,0.0006647071,1,1,1
7091.43,0.2745106,1.113973,1,1,1
12891.32,0.2785752,1.055001,1,1,1
12946.86,0.4506268,0.09022674,1,1,1
14053.26,0.3287141,0.315466,1,1,1
14576.05,0.3230895,1.276635,1,1,1
14848.66,0.6397616,0.008440246,1,1,1
15863.55,0.2002972,9.492086,1,1,1
17812.11,1.884234,0.03704862,1,1,1
19822.68,0.3084395,1.830412,1,1,1
21700.76,0.1584263,0.02430707,1,1,1
22053.83,0.3121815,1.947345,1,1,1
23104.51,0.3102405,0.6616679,1,1,1
23352.15,0.2801204,1.604544,1,1,1
23882.39,0.3397299,2.14931,1,1,1
25212.53,0.3245747,2.032882,1,1,1
26054.11,0.3267081,0.1411305,1,1,1
26421.27,0.3270543,0.2047818,1,1,1
27218.05,0.4101731,2.674478,1,1,1
27865.03,0.3201299,0.2503583,1,1,1
28101.89,0.3252217,0.1879419,1,1,1
28629.78,0.3136104,0.49023,1,1,1
29094.51,0.3171562,0.2324802,1,1,1
30776.41,0.4066688,0.05985862,1,1,1
31226.05,0.3008272,0.2808835,1,1,1
32349.69,0.317765,1.224322,1,1,1
34050.72,1.014565,0.04322964,1,1,1
34092.66,0.3494453,5.379865,1,1,1
34764.92,0.2819844,0.1474625,1,1,1
35269.23,4.317647,0.06564877,1,1,1
35470.41,0.3024501,0.1470674,1,1,1
35769.6,0.3025178,2.081863,1,1,1
38425.11,0.2730817,1.33958,1,1,1
38690.87,0.2988851,2.216795,1,1,1
39345.59,0.3588939,1.710765,1,1,1
40956.0,0.2766898,1.428095,1,1,1
42250.57,0.1671109,0.01965814,1,1,1
42348.91,0.2980725,0.174012,1,1,1
43739.07,0.2213839,1.041023,1,1,1
43919.62,0.4273988,3.778223,1,1,1
44071.08,0.4276756,4.575001,1,1,1
45038.45,13.0055,0.09938804,1,1,1
45563.24,0.1873865,0.5562768,1,1,1
45597.01,0.2352947,0.5510089,1,1,1
46339.45,0.4618788,0.04095244,1,1,1
47711.34,0.3326651,0.1052385,1,1,1
47843.23,0.4905492,21.06523,1,1,1
47975.32,8.518566,0.2184295,1,1,1
48199.63,0.2706202,4.86051,1,1,1
48345.89,12.75529,0.1279958,1,1,1
48648.16,0.9421535,0.2408186,1,1,1
49386.34,0.4011344,0.5312478,1,1,1
50000.0,0.4340516,1.316144,1,1,1
50241.34,0.02162938,0.4989485,1,1,1
50618.2,8.495622,0.1090032,1,1,1
50990.32,1.24203,0.03904089,1,1,1
51962.36,0.7343303,0.02790848,1,1,1
52523.29,0.3044334,0.5352692,1,1,1
53781.07,0.2688455,1.074474,1,1,1
55834.33,0.2434066,16.42442,1,1,1
55895.55,0.05280436,0.09245259,1,1,1
56358.8,0.191418,1.03638,1,1,1
57285.95,0.3833907,3.6051,1,1,1
57773.91,0.2319771,0.3147957,1,1,1
59987.6,0.164021,0.1201268,1,1,1
60619.13,0.2871782,1.984032,1,1,1
61632.39,0.3614917,3.336313,1,1,1
62239.79,0.4177041,2.56808,1,1,1
62703.99,0.2889656,4.951122,1,1,1
65234.04,0.4468597,7.899677,1,1,1
