energy,K40 + photon [inclusive] width,n + K39 width,J,Pi,L
-179867.0,0.50092,3036.98,1,1,0
-9530.291,0.66455,703.158,1,1,0
12155.95,0.15844,0.29909,1,1,0
68787.2,1.2481,1623.78,1,1,0
87783.16,0.52888,504.053,1,1,0
109042.6,1.8115,1614.75,1,1,0
127203.0,0.96706,63.9845,1,1,0
132670.3,0.43399,265.415,1,1,0
145524.5,0.48486,91.3601,1,1,0
154138.0,0.48146,1237.1,1,1,0
162453.2,0.64316,1030.83,1,1,0
171416.1,0.99296,115.63,1,1,0
178144.3,1.5997,708.69,1,1,0
224319.8,0.19476,125.992,1,1,0
228507.3,0.22201,73.9449,1,1,0
244081.6,0.092476,43.436,1,1,0
246341.5,0.094939,127.398,1,1,0
271088.7,0.71358,64.593,1,1,0
279558.3,2.1364,757.628,1,1,0
290441.0,1.465,1185.63,1,1,0
300503.2,0.40205,24.3665,1,1,0
331857.5,1.0213,311.358,1,1,0
337793.8,0.98724,1070.19,1,1,0
353178.2,3.0458,1540.69,1,1,0
365169.5,1.1579,411.276,1,1,0
384155.0,1.0925,633.31,1,1,0
386377.9,1.446,1132.07,1,1,0
404073.2,1.2763,1658.79,1,1,0
457291.9,0.84811,1774.11,1,1,0
469716.1,0.48812,119.229,1,1,0
500930.3,1.8046,1740.27,1,1,0
529505.4,1.3142,2465.21,1,1,0
541779.4,0.96511,193.593,1,1,0
573330.6,1.3182,501.961,1,1,0
594958.0,0.96828,56.017,1,1,0
621542.9,0.826,1754.24,1,1,0
659496.0,0.826,1492.87,1,1,0
669077.1,0.826,475.691,1,1,0
674193.1,0.826,1500.88,1,1,0
683452.3,0.826,1123.47,1,1,0
691938.5,0.826,262.149,1,1,0
698370.8,0.826,1524.37,1,1,0
1586197.0,0.50087,646071.0,1,1,0
-126256.1,0.53328,28819.4,2,1,0
-218.5621,0.1286,2.49187,2,1,0
9388.438,0.28098,54.002,2,1,0
25557.64,0.39771,91.5318,2,1,0
42701.2,0.60056,428.795,2,1,0
57985.68,0.59081,751.601,2,1,0
96842.98,0.67293,359.933,2,1,0
122499.7,0.087096,5.33147,2,1,0
143946.9,0.23795,49.3921,2,1,0
144181.4,1.758,128.462,2,1,0
147785.0,0.3281,84.4703,2,1,0
192967.3,0.1403,106.174,2,1,0
193273.5,0.4101,223.146,2,1,0
223802.5,0.11381,19.4534,2,1,0
243771.0,0.088101,33.618,2,1,0
244641.2,0.17786,335.076,2,1,0
245004.6,0.42072,479.263,2,1,0
258494.0,0.20807,13.0458,2,1,0
259090.2,0.15204,52.587,2,1,0
259553.8,0.3961,64.557,2,1,0
263339.8,0.6961,26.0228,2,1,0
266229.8,0.27484,16.2788,2,1,0
301071.1,0.22238,25.4641,2,1,0
332822.7,0.56404,818.96,2,1,0
357560.4,0.6781,87.6421,2,1,0
423040.6,1.9206,2481.91,2,1,0
446496.4,0.78666,58.3226,2,1,0
464904.1,1.5178,196.546,2,1,0
477592.1,0.9506,231.617,2,1,0
485312.2,2.0896,2738.78,2,1,0
526997.5,1.4278,20.9095,2,1,0
555749.9,1.3718,5024.81,2,1,0
585193.2,0.88739,123.967,2,1,0
587417.5,0.98217,55.1351,2,1,0
589596.3,0.94211,131.762,2,1,0
640713.0,0.826,1966.19,2,1,0
665136.0,0.826,3439.23,2,1,0
666797.9,0.826,1766.42,2,1,0
693075.8,0.826,593.88,2,1,0
726710.1,0.826,2242.79,2,1,0
751134.0,0.826,198.301,2,1,0
784558.0,0.82738,1005.22,2,1,0
798822.9,0.826,540.26,2,1,0
807863.9,0.826,188.504,2,1,0
826677.2,0.826,257.1,2,1,0
857651.8,0.826,486.967,2,1,0
889978.1,0.826,144.602,2,1,0
957027.9,0.826,1851.33,2,1,0
1010577.0,0.826,2145.89,2,1,0
1044924.0,0.826,247.41,2,1,0
1082001.0,0.826,196.445,2,1,0
10349.76,0.065012,0.13697,0,-1,1
28357.88,0.19707,1.19972,0,-1,1
54788.61,0.31137,30.3534,0,-1,1
56723.13,0.25701,1.69921,0,-1,1
80640.88,3.3822,4.92046,0,-1,1
92832.02,2.3716,5.54628,0,-1,1
103550.1,1.6521,30.5196,0,-1,1
114991.3,1.681,9.49051,0,-1,1
148241.4,2.3417,116.818,0,-1,1
154849.8,1.1669,1407.3,0,-1,1
163304.5,4.1794,237.672,0,-1,1
177401.3,2.0245,545.493,0,-1,1
188953.9,0.36958,346.466,0,-1,1
196463.3,1.8206,38.1343,0,-1,1
200880.2,3.2579,326.517,0,-1,1
203281.0,0.52161,49.9207,0,-1,1
210477.6,1.2235,67.7212,0,-1,1
247708.1,0.10706,215.286,0,-1,1
285081.3,8.4018,3545.1,0,-1,1
297133.7,1.1213,724.096,0,-1,1
307389.0,1.0289,422.768,0,-1,1
316249.1,0.6477,1994.05,0,-1,1
321005.8,3.2382,102.415,0,-1,1
344927.7,4.9457,524.909,0,-1,1
364092.9,2.5677,1370.8,0,-1,1
366416.4,0.77615,814.903,0,-1,1
371884.6,2.6255,604.155,0,-1,1
385278.5,0.88434,324.041,0,-1,1
390655.1,1.1574,143.616,0,-1,1
394966.8,3.2393,750.652,0,-1,1
401147.4,1.1263,343.933,0,-1,1
430455.6,2.2024,1414.7,0,-1,1
432661.9,1.8494,14018.5,0,-1,1
451893.0,1.2769,269.802,0,-1,1
483260.3,1.7066,6136.64,0,-1,1
494401.8,1.1956,1816.67,0,-1,1
519284.6,1.614,810.666,0,-1,1
538064.3,1.4429,433.576,0,-1,1
550113.3,1.309,588.408,0,-1,1
565296.7,1.364,1168.63,0,-1,1
606877.9,1.0837,3854.4,0,-1,1
613877.6,1.0849,1922.26,0,-1,1
630880.4,1.0843,1752.17,0,-1,1
714080.4,1.084,852.404,0,-1,1
715588.9,1.084,59.9677,0,-1,1
764444.4,1.084,91.4645,0,-1,1
839970.1,1.084,38.3271,0,-1,1
845989.7,1.0836,10775.8,0,-1,1
928567.0,1.084,5916.02,0,-1,1
951094.8,1.0841,2980.5,0,-1,1
24960.98,0.36878,6.15565,1,-1,1
45126.3,0.58166,0.907019,1,-1,1
54370.8,0.42373,1.59956,1,-1,1
55135.86,0.34677,1.27379,1,-1,1
59976.4,0.30895,105.174,1,-1,1
93120.41,0.68265,40.5777,1,-1,1
99419.4,0.51492,176.482,1,-1,1
104456.6,0.76279,34.3406,1,-1,1
109659.4,0.30025,28.3183,1,-1,1
118815.1,0.57784,85.9034,1,-1,1
126344.0,1.1954,1.72048,1,-1,1
132368.0,0.083455,30.0322,1,-1,1
135325.7,1.0357,162.546,1,-1,1
149344.1,0.75416,131.507,1,-1,1
189633.7,1.0125,15.8097,1,-1,1
199121.4,1.2075,141.061,1,-1,1
213310.5,0.89212,377.519,1,-1,1
246990.3,1.2294,160.312,1,-1,1
248535.1,0.1089,33.2168,1,-1,1
251963.2,0.9594,97.2774,1,-1,1
267041.9,1.2721,103.64,1,-1,1
290156.2,2.0352,7579.46,1,-1,1
301872.4,0.4474,318.567,1,-1,1
309982.0,1.8276,3585.47,1,-1,1
367106.5,0.31315,49.0562,1,-1,1
372420.8,0.39891,61.3678,1,-1,1
388262.3,0.6945,99.8847,1,-1,1
393513.8,0.71208,71.9371,1,-1,1
409251.8,3.6684,4262.22,1,-1,1
424502.8,0.60415,1442.75,1,-1,1
426391.7,0.65658,504.443,1,-1,1
432714.2,1.8617,228.77,1,-1,1
442968.6,1.9421,229.912,1,-1,1
454956.2,1.0361,72.0406,1,-1,1
468582.3,1.0378,2491.06,1,-1,1
490315.9,1.3055,1740.99,1,-1,1
502409.6,1.5742,99.2237,1,-1,1
514856.6,1.483,468.777,1,-1,1
516750.7,1.8374,411.079,1,-1,1
532612.5,1.3099,5158.32,1,-1,1
561125.3,1.1788,1154.67,1,-1,1
578308.9,1.09,606.054,1,-1,1
604957.9,1.0841,137.345,1,-1,1
608404.4,1.0845,350.659,1,-1,1
636441.9,1.0862,410.305,1,-1,1
645331.3,1.0859,2093.02,1,-1,1
677377.7,1.0842,398.592,1,-1,1
707978.9,1.084,70.5648,1,-1,1
739614.5,1.0845,463.995,1,-1,1
757967.0,1.0841,2348.91,1,-1,1
759810.3,1.0839,3098.33,1,-1,1
767988.9,1.0839,165.648,1,-1,1
822784.6,1.0857,1931.05,1,-1,1
844995.9,1.0841,160.487,1,-1,1
879330.5,1.0842,5714.37,1,-1,1
899972.7,1.084,244.471,1,-1,1
922614.6,1.084,8237.48,1,-1,1
999896.1,1.0839,501.725,1,-1,1
1036761.0,1.084,574.431,1,-1,1
1121500.0,1.084,1200.0,1,-1,1
3279.434,0.66992,0.200231,1,-1,1
54642.05,0.6181,22.914,1,-1,1
55744.82,0.063696,3.79044,1,-1,1
58807.38,0.43918,2.02137,1,-1,1
84903.24,0.35722,6.15347,1,-1,1
97336.31,0.40554,9.29937,1,-1,1
106104.2,0.41898,3.20743,1,-1,1
109929.3,0.27891,10.9465,1,-1,1
117404.1,0.92134,21.1531,1,-1,1
120144.5,0.39351,6.28764,1,-1,1
136633.2,2.0932,132.846,1,-1,1
146271.8,0.34683,71.9783,1,-1,1
146468.4,0.053079,110.38,1,-1,1
160264.1,0.83871,7.894,1,-1,1
220250.4,0.24399,27.2004,1,-1,1
229551.5,1.3954,254.357,1,-1,1
249496.8,0.090667,344.819,1,-1,1
249939.1,0.56579,507.451,1,-1,1
261566.1,2.2682,260.947,1,-1,1
272912.8,0.90193,34.5731,1,-1,1
282375.2,1.8298,99.6418,1,-1,1
295963.5,0.89621,1131.13,1,-1,1
342071.2,0.68653,504.578,1,-1,1
359548.6,5.761,8316.38,1,-1,1
368848.6,1.519,3717.8,1,-1,1
373976.4,1.7649,2269.76,1,-1,1
385259.6,0.40155,26.7495,1,-1,1
389231.8,0.50198,430.625,1,-1,1
397073.5,1.5883,183.122,1,-1,1
405525.1,1.1116,2066.95,1,-1,1
425623.2,0.58327,377.19,1,-1,1
435128.9,2.2391,1356.11,1,-1,1
441055.9,2.4828,480.85,1,-1,1
453695.3,1.767,1286.88,1,-1,1
472773.0,1.3368,2020.68,1,-1,1
492956.2,0.99992,978.298,1,-1,1
521800.8,1.6668,273.286,1,-1,1
546683.1,1.4279,565.542,1,-1,1
558716.7,1.1206,28.7035,1,-1,1
591173.0,1.1538,263.52,1,-1,1
601841.4,1.0859,4791.51,1,-1,1
625493.9,1.0851,1978.2,1,-1,1
653919.3,1.0861,769.189,1,-1,1
702907.1,1.0841,410.571,1,-1,1
704424.4,1.0843,1075.78,1,-1,1
724995.2,1.0853,906.809,1,-1,1
732578.9,1.0842,754.315,1,-1,1
744480.9,1.0846,1364.47,1,-1,1
746127.0,1.0845,1875.76,1,-1,1
752713.3,1.0843,651.251,1,-1,1
797604.7,1.0843,2698.31,1,-1,1
861164.8,1.0832,3415.73,1,-1,1
896446.9,1.0854,2768.72,1,-1,1
924801.4,1.084,308.102,1,-1,1
942399.7,1.0835,6678.58,1,-1,1
979527.4,1.0841,3097.55,1,-1,1
1032440.0,1.084,923.042,1,-1,1
1048524.0,1.084,237.453,1,-1,1
14298.41,0.23224,0.799566,2,-1,1
33364.02,0.30813,15.9621,2,-1,1
37554.61,0.38871,9.61122,2,-1,1
62244.68,0.31678,3.57408,2,-1,1
81167.76,0.28478,26.8807,2,-1,1
108591.7,0.30173,4.91814,2,-1,1
122873.1,0.48428,25.7836,2,-1,1
147226.1,0.51795,4.04709,2,-1,1
154610.1,0.20202,40.5031,2,-1,1
184537.8,0.47048,58.4408,2,-1,1
224860.4,0.34476,105.321,2,-1,1
291053.3,1.738,75.8152,2,-1,1
305807.8,2.8983,3611.36,2,-1,1
365843.9,0.24213,85.0157,2,-1,1
401163.2,0.54816,48.1503,2,-1,1
580914.7,1.2347,351.992,2,-1,1
669960.4,1.0838,153.878,2,-1,1
685911.9,1.0841,124.351,2,-1,1
711591.3,1.0848,354.047,2,-1,1
755431.8,1.0841,218.499,2,-1,1
763131.4,1.084,108.376,2,-1,1
771740.3,1.0834,1995.71,2,-1,1
778638.5,1.0862,1169.4,2,-1,1
791006.6,1.0842,183.926,2,-1,1
803536.4,1.0855,711.102,2,-1,1
811074.9,1.0848,4718.47,2,-1,1
835023.3,1.0855,635.506,2,-1,1
873320.5,1.0836,2554.35,2,-1,1
905113.6,1.0842,1444.46,2,-1,1
964527.4,1.0849,1548.37,2,-1,1
976703.0,1.0845,1572.77,2,-1,1
1003320.0,1.084,570.493,2,-1,1
1017231.0,1.084,1156.69,2,-1,1
1031122.0,1.084,4746.42,2,-1,1
1061342.0,1.084,3841.22,2,-1,1
1074072.0,1.084,300.0,2,-1,1
1096439.0,1.084,491.5,2,-1,1
1115700.0,1.084,2500.0,2,-1,1
15954.19,0.27733,1.54756,2,-1,1
37660.08,0.47642,0.842741,2,-1,1
46033.49,0.58178,50.3353,2,-1,1
52181.66,0.35981,14.0598,2,-1,1
55814.95,0.17993,5.65217,2,-1,1
102280.3,0.3541,35.7601,2,-1,1
129437.7,0.24607,7.30775,2,-1,1
172911.2,0.41692,16.4698,2,-1,1
200061.1,0.2659,11.5105,2,-1,1
318183.2,0.72707,33.2065,2,-1,1
334702.7,0.48368,78.0009,2,-1,1
342927.3,0.76018,121.098,2,-1,1
366352.7,0.23255,74.6993,2,-1,1
369617.3,0.65491,14.4964,2,-1,1
388724.1,0.35284,162.154,2,-1,1
459392.9,0.88711,114.917,2,-1,1
504553.5,1.5763,202.804,2,-1,1
512325.4,0.71421,489.781,2,-1,1
535927.9,1.2497,82.7276,2,-1,1
566818.7,1.9018,196.544,2,-1,1
611508.9,1.0861,1432.68,2,-1,1
651292.9,1.0856,240.993,2,-1,1
735947.6,1.0833,4715.31,2,-1,1
787222.8,1.085,632.228,2,-1,1
818012.2,1.0856,1670.83,2,-1,1
830957.6,1.0855,1711.09,2,-1,1
867429.1,1.0848,2733.81,2,-1,1
882213.7,1.084,144.901,2,-1,1
911991.6,1.084,3353.1,2,-1,1
931985.3,1.0843,767.808,2,-1,1
990279.5,1.0839,4678.54,2,-1,1
1055832.0,1.084,2416.6,2,-1,1
1089838.0,1.084,800.0,2,-1,1
1124200.0,1.084,1000.0,2,-1,1
-2485333.0,0.50013,7406140.0,3,-1,1
1111.655,0.51533,0.012106,3,-1,1
12623.4,0.34536,0.908589,3,-1,1
16711.53,0.29535,0.383802,3,-1,1
32226.33,0.82347,1.38534,3,-1,1
68773.45,0.18831,1.19881,3,-1,1
228969.6,0.084919,45.3425,3,-1,1
333861.3,0.24323,100.423,3,-1,1
389871.1,0.49568,24.2034,3,-1,1
405678.7,0.28877,33.0822,3,-1,1
457384.5,0.31939,72.8669,3,-1,1
485098.9,0.49985,30.3668,3,-1,1
489400.7,0.40113,89.1748,3,-1,1
512742.6,0.57326,21.4321,3,-1,1
530924.0,0.58841,70.4169,3,-1,1
557505.9,0.45719,69.832,3,-1,1
563203.6,0.99772,53.9248,3,-1,1
642463.1,1.0846,257.575,3,-1,1
694179.7,1.084,97.8377,3,-1,1
727325.5,1.084,263.119,3,-1,1
773217.6,1.0842,528.404,3,-1,1
849325.8,1.088,1309.24,3,-1,1
914907.4,1.084,689.014,3,-1,1
919876.8,1.084,206.529,3,-1,1
958616.0,1.084,191.413,3,-1,1
969150.9,1.085,683.215,3,-1,1
992525.1,1.084,242.548,3,-1,1
1104000.0,1.084,1500.0,3,-1,1
1134000.0,1.084,1000.0,3,-1,1
