energy,Mn56 + photon [inclusive] width,n + Mn55 width,J,Pi,L
-110000.0,1.0,26286.24,2,1,0
-759.8076,0.4531165,33.22168,2,1,0
340.7875,0.4096677,23.67655,2,1,0
7167.343,1.033336,423.2468,2,1,0
17993.39,0.4122991,71.51563,2,1,0
23696.29,0.4294763,378.2408,2,1,0
26482.4,0.4584532,129.0562,2,1,0
30330.24,0.4799524,5.72768,2,1,0
35310.16,0.5818534,616.7926,2,1,0
41078.76,0.6312194,362.0991,2,1,0
53454.3,0.410493,112.7176,2,1,0
57841.77,0.7933567,1345.398,2,1,0
59769.82,0.837058,638.4271,2,1,0
74109.35,0.8077162,982.6973,2,1,0
84906.42,0.7510793,1431.537,2,1,0
96788.66,0.3486959,173.9515,2,1,0
98814.54,0.3940653,123.1177,2,1,0
105857.2,0.2774689,874.8329,2,1,0
107768.0,0.4252261,369.31,2,1,0
110385.4,0.6800747,490.2291,2,1,0
119213.7,0.7769324,162.1073,2,1,0
124608.0,0.3039963,439.4346,2,1,0
129844.7,1.048805,1141.063,2,1,0
130806.1,1.697026,775.8245,2,1,0
143691.7,0.2048654,327.9873,2,1,0
152876.9,0.7996648,384.8715,2,1,0
158086.1,0.6655704,74.48113,2,1,0
158192.6,0.4687904,565.3511,2,1,0
169572.6,0.6426889,447.6142,2,1,0
184782.6,0.75,1882.0,2,1,0
198228.2,0.75,814.5,2,1,0
208163.1,0.75,2572.0,2,1,0
310000.0,1.0,92035.25,2,1,0
-100000.0,1.0,65984.88,3,1,0
1098.439,0.3965884,15.27089,3,1,0
2394.73,0.7829228,403.1978,3,1,0
8870.883,0.8423879,373.8829,3,1,0
17812.74,0.7138215,12.09714,3,1,0
20911.54,0.6946149,868.2671,3,1,0
27012.92,0.5336682,381.7575,3,1,0
35173.37,1.275823,2189.326,3,1,0
41096.33,0.5056535,166.9291,3,1,0
54229.48,0.3769861,12.13991,3,1,0
56586.59,0.2790231,3.598085,3,1,0
57504.76,0.4848334,233.8635,3,1,0
64350.62,0.9572882,864.912,3,1,0
66708.94,0.3420524,134.1056,3,1,0
69760.98,0.4779568,179.3697,3,1,0
70130.0,0.4051663,236.4563,3,1,0
81628.39,0.6758823,260.6053,3,1,0
86108.7,0.1572853,30.8092,3,1,0
91551.81,0.8262586,26.50327,3,1,0
99064.25,0.2362751,111.0572,3,1,0
99240.45,0.2596392,208.9952,3,1,0
104273.3,1.130954,125.6853,3,1,0
105268.0,0.5786713,119.3424,3,1,0
111793.9,0.5557168,1813.069,3,1,0
117049.5,0.5389817,334.1531,3,1,0
119345.9,0.603265,303.624,3,1,0
128317.6,0.8424197,1615.142,3,1,0
144076.7,0.1124242,193.2363,3,1,0
161076.1,0.2682745,879.7792,3,1,0
175285.0,0.8844587,1905.817,3,1,0
179621.3,0.3579182,796.3398,3,1,0
186588.6,0.75,8418.0,3,1,0
188996.7,0.75,1389.0,3,1,0
194314.8,0.75,397.8,3,1,0
203847.9,0.75,3115.0,3,1,0
300000.0,1.0,167307.5,3,1,0
1658.199,0.4782829,0.03284868,1,-1,1
4000.767,0.435076,0.001549735,1,-1,1
9792.604,0.3536712,0.02379225,1,-1,1
14712.9,0.487551,0.2118204,1,-1,1
22341.03,0.5327537,0.09112387,1,-1,1
25927.83,0.6308766,11.89088,1,-1,1
31240.05,0.3392047,0.05052915,1,-1,1
32427.64,0.492807,0.2498187,1,-1,1
38434.76,0.4790036,0.240492,1,-1,1
47678.7,0.3918957,26.8118,1,-1,1
52492.89,0.5965598,6.888349,1,-1,1
62055.81,0.6102471,8.349908,1,-1,1
67487.09,0.5788865,1.308624,1,-1,1
72671.8,0.4554596,0.02702507,1,-1,1
72780.93,0.6395322,0.03533859,1,-1,1
78376.43,0.5212086,29.73706,1,-1,1
81410.66,0.6522346,1.056874,1,-1,1
87302.95,0.6856192,0.7800436,1,-1,1
91468.23,0.2037513,16.70921,1,-1,1
100119.6,0.4545519,0.3744791,1,-1,1
105475.0,0.6524827,0.3621949,1,-1,1
109779.8,0.4252406,0.3347835,1,-1,1
111955.7,0.2622324,23.96246,1,-1,1
123806.3,0.5298469,40.02582,1,-1,1
4304.647,0.2893264,0.004286661,2,-1,1
6331.884,0.6140894,0.2012263,2,-1,1
10899.93,0.1854164,1.096756,2,-1,1
16176.01,0.4179169,0.724155,2,-1,1
36580.7,0.4514494,1.710922,2,-1,1
46969.41,0.482507,9.148177,2,-1,1
48386.17,0.5494722,0.5547071,2,-1,1
57231.04,0.3010571,0.02599027,2,-1,1
60260.28,0.5808496,0.5994366,2,-1,1
65847.0,0.4292143,0.09438037,2,-1,1
74576.37,0.4091151,0.01784878,2,-1,1
77556.79,0.4896459,4.498019,2,-1,1
88853.37,0.6014573,5.674588,2,-1,1
109102.8,0.6594212,8.500155,2,-1,1
114900.3,0.3624525,88.45479,2,-1,1
6964.772,0.369368,0.009388052,2,-1,1
20236.96,0.4908545,0.3181783,2,-1,1
20835.77,0.5272066,0.3180456,2,-1,1
28268.34,0.8557093,0.07247485,2,-1,1
44082.38,0.4999992,3.097281,2,-1,1
57344.66,0.5392969,0.3339127,2,-1,1
60388.73,0.4785372,0.1617272,2,-1,1
61957.86,0.4216496,0.1111654,2,-1,1
65799.1,0.2956782,25.91298,2,-1,1
67713.91,0.4514674,16.3876,2,-1,1
75593.35,0.5771741,0.03046197,2,-1,1
82637.09,0.4295055,0.2450605,2,-1,1
85088.09,1.034531,15.45292,2,-1,1
85336.34,0.4485966,0.167452,2,-1,1
115582.9,0.2248352,32.33438,2,-1,1
120235.3,0.3792647,137.2418,2,-1,1
4942.355,0.2757802,0.3765681,3,-1,1
19133.94,0.4016106,0.0063069,3,-1,1
22664.54,0.2179453,2.578269,3,-1,1
24433.75,0.4307554,0.3423057,3,-1,1
31747.84,0.40537,0.03707459,3,-1,1
45390.51,0.430575,0.2912713,3,-1,1
50828.38,0.4326739,0.0568225,3,-1,1
59643.15,0.401723,0.113886,3,-1,1
66008.0,0.2740011,0.1856039,3,-1,1
70905.46,0.4085863,0.3074142,3,-1,1
71925.46,0.4326651,8.337235,3,-1,1
73038.41,0.2892636,15.84794,3,-1,1
74188.97,0.6981077,1.396402,3,-1,1
84005.87,0.2480334,34.73724,3,-1,1
86585.38,0.4111148,30.29323,3,-1,1
95402.19,0.2810963,7.697722,3,-1,1
111839.0,0.3608336,0.9557557,3,-1,1
121866.9,0.5810848,29.84662,3,-1,1
10619.76,0.3643481,0.02870531,3,-1,1
11634.21,0.7194005,0.04424482,3,-1,1
33353.39,0.2784186,8.495233,3,-1,1
53274.79,0.433416,0.04351916,3,-1,1
64688.07,0.3733512,0.09428447,3,-1,1
68889.46,0.4237448,0.2788,3,-1,1
84359.49,0.4216581,0.2301449,3,-1,1
89812.87,0.2555487,2.943185,3,-1,1
93879.33,0.2306309,20.11797,3,-1,1
98498.41,0.4836708,10.62601,3,-1,1
99402.66,0.4174991,0.2403662,3,-1,1
108079.0,0.3687987,12.03797,3,-1,1
116938.7,0.2669427,26.20988,3,-1,1
120731.9,0.2849488,27.23689,3,-1,1
12695.11,0.1737388,0.7561363,4,-1,1
14955.91,0.5453835,0.1363101,4,-1,1
17736.19,0.4879252,0.03820731,4,-1,1
18823.19,0.2333872,0.5076435,4,-1,1
21902.03,0.3934692,0.00444627,4,-1,1
25729.66,0.4634811,0.04815379,4,-1,1
28759.6,0.4908934,0.1859921,4,-1,1
31670.65,0.4164991,0.1179025,4,-1,1
32333.0,0.1723648,2.606216,4,-1,1
34900.12,0.4327725,0.05460145,4,-1,1
35264.57,0.4326802,0.08857735,4,-1,1
40956.25,0.281141,5.787795,4,-1,1
43891.34,0.4022894,1.874062,4,-1,1
47454.82,0.4307283,0.01161307,4,-1,1
51172.72,0.2306159,3.694306,4,-1,1
54633.32,0.2427003,10.81695,4,-1,1
58166.16,0.288915,0.6360307,4,-1,1
61711.94,0.2319754,0.4965322,4,-1,1
69781.04,0.4125104,0.1237995,4,-1,1
71265.62,0.2979241,8.063168,4,-1,1
79434.27,0.2264637,7.290636,4,-1,1
83627.26,0.2984833,8.238021,4,-1,1
84927.45,0.4293378,0.3196157,4,-1,1
86227.18,0.3003572,1.807924,4,-1,1
86817.98,0.3320657,0.03753339,4,-1,1
92198.3,0.2599793,7.022114,4,-1,1
100572.4,0.3865648,0.1574402,4,-1,1
107147.0,0.2764738,11.05209,4,-1,1
111284.6,0.354904,6.94716,4,-1,1
111747.5,0.1027339,5.085126,4,-1,1
121381.9,0.117702,18.09683,4,-1,1
