energy,Ti49 + photon [inclusive] width,n + Ti48 width,J,Pi,L
-2138.192,3.700819,63.27219,0.5,1,0
17808.93,3.955329,8571.371,0.5,1,0
22140.2,0.5777511,791.9632,0.5,1,0
36945.0,3.3629,1733.8,0.5,1,0
52145.0,1.8845,3373.6,0.5,1,0
83259.0,0.61584,319.99,0.5,1,0
118810.0,0.53645,223.94,0.5,1,0
154670.0,0.33241,419.52,0.5,1,0
186220.0,0.17405,502.48,0.5,1,0
191490.0,0.76211,3057.0,0.5,1,0
250110.0,3.427,6570.3,0.5,1,0
266140.0,0.3868,21.777,0.5,1,0
268780.0,1.046,5751.8,0.5,1,0
313220.0,0.41906,3282.9,0.5,1,0
344120.0,0.43312,8406.3,0.5,1,0
391280.0,3.7057,2341.1,0.5,1,0
416460.0,0.42411,71767.0,0.5,1,0
21565.1,0.8862479,0.09451526,0.5,-1,1
23898.88,0.4921156,8.288577,0.5,-1,1
42228.0,0.43913,10.128,0.5,-1,1
74536.0,0.4647,238.95,0.5,-1,1
76347.0,0.4594,8.4929,0.5,-1,1
85145.0,0.28342,58.704,0.5,-1,1
121780.0,0.31513,65.852,0.5,-1,1
153900.0,0.80452,28.91,0.5,-1,1
157770.0,0.4176,0.17676,0.5,-1,1
161490.0,0.24362,5.5384,0.5,-1,1
176950.0,0.15336,0.25486,0.5,-1,1
181990.0,0.22318,0.27683,0.5,-1,1
187620.0,0.53465,3.4193,0.5,-1,1
192070.0,0.15921,11.916,0.5,-1,1
203540.0,0.12775,18.704,0.5,-1,1
204870.0,0.61873,53.247,0.5,-1,1
212580.0,0.98861,11.858,0.5,-1,1
225130.0,0.30465,74.883,0.5,-1,1
228710.0,0.39837,9.5132,0.5,-1,1
272480.0,1.2139,14.467,0.5,-1,1
290370.0,0.63794,6.8318,0.5,-1,1
295150.0,0.046519,29.779,0.5,-1,1
297790.0,0.21548,13.069,0.5,-1,1
312380.0,0.41906,82.63,0.5,-1,1
319080.0,0.19013,43.603,0.5,-1,1
367920.0,1.1419,203.56,0.5,-1,1
398830.0,0.8697,23.018,0.5,-1,1
11460.0,0.30958,3.1501,1.5,-1,1
13390.0,0.44958,0.15,1.5,-1,1
39086.0,0.44498,0.30867,1.5,-1,1
79566.0,0.51535,17.857,1.5,-1,1
87175.0,0.60331,3.9278,1.5,-1,1
106640.0,0.33205,9.0344,1.5,-1,1
135090.0,0.49817,1.4341,1.5,-1,1
141980.0,0.26311,3.5773,1.5,-1,1
153390.0,0.80404,15.257,1.5,-1,1
155380.0,0.39529,0.062009,1.5,-1,1
166100.0,0.38811,3.2672,1.5,-1,1
169270.0,0.45083,0.035516,1.5,-1,1
173840.0,0.27558,0.068706,1.5,-1,1
184400.0,0.41914,4.3839,1.5,-1,1
185070.0,0.34212,2.2122,1.5,-1,1
190150.0,0.54616,0.02772,1.5,-1,1
194730.0,0.3161,17.038,1.5,-1,1
198010.0,0.24246,0.16806,1.5,-1,1
202400.0,0.29884,7.7948,1.5,-1,1
205250.0,1.4443,20.145,1.5,-1,1
217350.0,0.51002,14.832,1.5,-1,1
220850.0,0.31251,9.8547,1.5,-1,1
226140.0,0.32453,9.3781,1.5,-1,1
230420.0,0.44717,3.3983,1.5,-1,1
233380.0,0.46242,9.3129,1.5,-1,1
249950.0,0.41648,20.723,1.5,-1,1
264420.0,0.31206,8.3066,1.5,-1,1
290030.0,0.66791,29.373,1.5,-1,1
301060.0,0.52929,6.2357,1.5,-1,1
304900.0,0.67178,23.092,1.5,-1,1
311120.0,0.2895,0.21452,1.5,-1,1
315500.0,0.3004,0.28367,1.5,-1,1
328200.0,0.36492,338.5,1.5,-1,1
335870.0,1.2254,49.002,1.5,-1,1
342650.0,0.40749,0.057983,1.5,-1,1
346340.0,0.18139,0.89847,1.5,-1,1
355720.0,1.0165,28.831,1.5,-1,1
362970.0,0.27148,35.161,1.5,-1,1
386160.0,0.18197,31.769,1.5,-1,1
393080.0,0.27943,0.29347,1.5,-1,1
71195.0,0.42029,0.19336,1.5,1,2
80170.0,0.42593,0.50193,1.5,1,2
163960.0,0.45052,0.038832,1.5,1,2
166930.0,0.22793,30.482,1.5,1,2
170920.0,0.34061,0.053166,1.5,1,2
174630.0,0.46403,0.032192,1.5,1,2
186100.0,0.83805,0.072259,1.5,1,2
196320.0,0.4374,0.04634,1.5,1,2
251910.0,0.58779,68.588,1.5,1,2
263040.0,0.31206,134.25,1.5,1,2
278140.0,0.23606,5.1866,1.5,1,2
283840.0,0.54692,21.965,1.5,1,2
286600.0,0.36509,8.7415,1.5,1,2
308320.0,0.21425,90.101,1.5,1,2
314180.0,0.22013,16.849,1.5,1,2
331540.0,0.34201,27.829,1.5,1,2
338630.0,0.42361,38.658,1.5,1,2
340740.0,0.75885,23.93,1.5,1,2
348390.0,0.78975,41.444,1.5,1,2
373400.0,0.77725,29.452,1.5,1,2
391280.0,0.30249,0.32717,1.5,1,2
6675.909,0.69429,0.0083333,2.5,1,2
41928.0,0.70122,0.032027,2.5,1,2
56380.0,0.75182,0.098331,2.5,1,2
97354.0,0.46467,8.5756,2.5,1,2
113350.0,0.5863,12.137,2.5,1,2
120440.0,0.27854,4.0942,2.5,1,2
133490.0,0.19911,108.93,2.5,1,2
140640.0,0.28809,15.64,2.5,1,2
163140.0,0.45605,0.026504,2.5,1,2
258990.0,0.42414,3.5996,2.5,1,2
279900.0,0.36915,3.163,2.5,1,2
292080.0,0.88698,10.304,2.5,1,2
321950.0,0.30983,18.256,2.5,1,2
342440.0,0.82359,64.368,2.5,1,2
379540.0,0.32377,15.742,2.5,1,2
