energy,V52 + photon [inclusive] width,n + V51 width,J,Pi,L
-5588.622,1.481179,533.9569,3,-1,0
6818.189,1.798615,1161.261,3,-1,0
11621.24,2.399541,4496.593,3,-1,0
16987.8,0.671524,281.807,3,-1,0
21710.98,0.5221483,640.1845,3,-1,0
33617.01,0.2870972,4.109793,3,-1,0
39653.57,0.9872252,452.7876,3,-1,0
49616.91,1.217976,505.8289,3,-1,0
53104.59,1.048191,773.1099,3,-1,0
63221.6,2.247998,4103.77,3,-1,0
73851.17,0.1106364,13.71146,3,-1,0
93518.75,0.1220367,37.92384,3,-1,0
110828.5,0.4892732,370.0739,3,-1,0
113011.6,0.6047528,0.04265662,3,-1,0
114512.9,0.9541603,0.2437275,3,-1,0
116804.0,1.536846,0.4141824,3,-1,0
119012.6,0.2250235,117.4195,3,-1,0
120147.6,0.9636089,0.001477238,3,-1,0
122375.8,0.9638371,0.004441115,3,-1,0
132983.3,1.536365,0.3897003,3,-1,0
135335.3,1.532485,1.104388,3,-1,0
141025.0,2.222196,4341.135,3,-1,0
146025.2,0.7492596,1513.044,3,-1,0
151834.3,0.9124754,88.89063,3,-1,0
162817.8,0.3871962,11534.86,3,-1,0
173540.9,0.9979925,4468.234,3,-1,0
177440.8,1.414404,10512.36,3,-1,0
181673.3,1.39231,5.956482,3,-1,0
207686.0,1.57809,7100.848,3,-1,0
212131.1,0.4983403,631.1568,3,-1,0
302736.9,0.5110119,1373.879,3,-1,0
-19195.45,1.550599,7722.592,4,-1,0
4149.661,1.09941,485.4096,4,-1,0
16238.14,0.8704682,320.1399,4,-1,0
29642.44,0.6117528,127.0678,4,-1,0
42452.29,0.3074737,7.139132,4,-1,0
48216.05,0.2901713,88.53923,4,-1,0
52069.69,0.2509512,83.29945,4,-1,0
68659.8,1.851922,3104.665,4,-1,0
79047.77,0.08449814,9.612126,4,-1,0
82795.79,0.6292763,900.0752,4,-1,0
87639.79,1.561702,2455.279,4,-1,0
96148.38,0.08560175,14.26715,4,-1,0
98605.51,0.4979095,5.840404,4,-1,0
112990.8,0.3019558,0.476522,4,-1,0
116260.6,1.535793,10.0407,4,-1,0
116354.1,0.3086792,352.2555,4,-1,0
117591.1,7.906269,16687.56,4,-1,0
118537.5,0.1853032,5.870985,4,-1,0
118704.6,0.07215864,31.11789,4,-1,0
129231.7,0.3806201,18.29951,4,-1,0
130803.4,0.7534572,1.472136,4,-1,0
133242.6,1.557363,0.1800875,4,-1,0
134416.9,1.296386,1720.204,4,-1,0
143425.2,2.325129,0.670371,4,-1,0
152929.9,1.290672,2852.113,4,-1,0
160587.6,1.359923,2150.108,4,-1,0
165249.7,0.4997119,176.0635,4,-1,0
167689.3,0.8298888,1221.013,4,-1,0
174985.8,1.418896,403.9048,4,-1,0
179969.0,1.206912,0.1941918,4,-1,0
184302.7,1.449865,2157.711,4,-1,0
189136.8,1.823674,3153.177,4,-1,0
207611.2,5.628508,25064.78,4,-1,0
160911.6,0.9001167,0.03435216,2,1,1
163011.2,0.8961702,74.85538,2,1,1
170998.1,0.792247,1.214645,2,1,1
178584.8,0.7069246,0.04951189,2,1,1
182747.9,0.8981057,682.1509,2,1,1
197349.0,0.8974032,202.5733,2,1,1
198360.2,0.1871487,0.3650121,2,1,1
4389.462,0.7891795,1.602951,3,1,1
10144.32,0.7937886,0.2477397,3,1,1
11988.45,0.5334399,0.03024811,3,1,1
20795.94,0.5124347,0.8234871,3,1,1
24272.23,1.098326,0.5162141,3,1,1
30094.24,0.3524,1.994253,3,1,1
39512.59,0.9998435,0.4482526,3,1,1
44776.47,0.5779603,0.2143209,3,1,1
48362.73,0.508249,0.05445754,3,1,1
55293.17,0.4488327,1.048147,3,1,1
65091.19,0.8352163,0.1283186,3,1,1
68626.0,0.8198576,0.1598358,3,1,1
71019.43,0.4213586,0.2943584,3,1,1
72699.07,0.8111139,0.04532187,3,1,1
76817.53,0.8083757,0.05831996,3,1,1
80696.5,1.719421,0.2168507,3,1,1
86055.62,0.7982478,0.4830754,3,1,1
89933.59,0.627643,1.971908,3,1,1
94489.17,0.1257796,0.5846521,3,1,1
97368.66,0.4022276,0.5112971,3,1,1
103714.9,0.3804049,0.008857983,3,1,1
126909.2,0.2236318,0.07770952,3,1,1
130975.7,1.529939,0.1369612,3,1,1
138428.8,1.539595,0.2434031,3,1,1
147433.3,0.7869401,0.01947965,3,1,1
151546.2,1.867017,0.4099599,3,1,1
157376.5,1.033362,0.0006204982,3,1,1
164410.9,0.3198398,11.55372,3,1,1
177473.8,0.6499621,39.07586,3,1,1
187172.3,0.9341389,0.5014736,3,1,1
191275.6,0.6054983,0.003327347,3,1,1
200092.6,0.5318848,0.5107416,3,1,1
7033.815,0.5215672,0.0617098,4,1,1
11773.79,0.5393012,0.3240441,4,1,1
15715.55,0.4995609,4.280567,4,1,1
18080.45,0.4996052,2.016296,4,1,1
21243.21,0.7777202,0.03257431,4,1,1
28881.16,1.168652,0.1149932,4,1,1
32287.72,0.8220611,0.02035793,4,1,1
37582.44,0.4180227,13.04242,4,1,1
46004.19,0.8627356,0.4761014,4,1,1
48737.23,0.6103483,0.7709186,4,1,1
50690.61,0.4258198,0.2084289,4,1,1
61183.6,0.5473186,0.02751511,4,1,1
67247.52,0.8275922,0.2508625,4,1,1
70947.05,0.8051121,0.1116137,4,1,1
72103.77,0.8151434,0.01960692,4,1,1
74269.28,0.8210771,0.04848129,4,1,1
76904.6,0.7439397,0.3310448,4,1,1
84213.53,0.5389207,0.1997017,4,1,1
87157.48,0.8208126,0.8252905,4,1,1
91607.97,0.5559997,0.09713811,4,1,1
95162.99,0.5017191,20.06986,4,1,1
101703.8,0.8178926,0.001088028,4,1,1
106760.8,0.1294721,0.369187,4,1,1
113516.2,0.1588016,16.17439,4,1,1
113757.8,0.3855731,0.2304247,4,1,1
126095.5,0.1006351,6.925261,4,1,1
142637.1,0.4998116,0.0003848926,4,1,1
181262.4,0.6136013,0.0005496458,4,1,1
41065.64,1.346745,1.106754,5,1,1
155430.2,0.7253137,0.2386638,5,1,1
166859.3,0.2130472,149.8878,5,1,1
169027.8,0.9659681,0.01114663,5,1,1
188184.9,0.8968149,17.91245,5,1,1
